onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	2	restaurant	destination	65	restaurant	1.2821	1
33	24	study_trial	3	car	n/a	0	n/a	0	0
63	24	study_trial	4	call box	n/a	0	n/a	0	0
93	24	study_trial	3	car	n/a	0	n/a	0	0
123	24	study_trial	1	nail salon	n/a	0	n/a	0	0
153	24	study_trial	2	restaurant	n/a	0	n/a	0	0
183	24	study_trial	1	nail salon	n/a	0	n/a	0	0
213	24	study_trial	4	call box	n/a	0	n/a	0	0
243	0	catch_trial	2	restaurant	direction	13	left	1.9641	1
255	24	study_trial	2	restaurant	n/a	0	n/a	0	0
